978-4-7973-8679-0,Unity5の教科書,北村 愛実
978-4-7981-4247-0,Spring徹底入門 Spring FrameworkによるJavaアプリケーション開発,株式会社NTTデータ
978-4-87311-758-4,ゼロから作るDeep Learning――Pythonで学ぶディープラーニングの理論と実装,斎藤 康毅
